# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
4.84            	3.29608033e+00	1.64804017e+00	1.64804017e+00	-6.24763247e-01	-3.70997731e-01	-2.53765516e-01	-5.86161078e-02	1.48721290e-16	-8.52972482e-18	-1.17731649e-16	-6.73955494e-17	-5.03360998e-17
4.85            	3.28800471e+00	1.64400235e+00	1.64400235e+00	-7.77972290e-01	-1.87311074e-02	-7.59241182e-01	3.70255038e-01	1.46704846e-16	-9.29995544e-18	-1.02855439e-16	-6.07276752e-17	-4.21277643e-17
4.86            	3.29363046e+00	1.64681523e+00	1.64681523e+00	-8.97934449e-01	3.15506600e-02	-9.29485109e-01	4.80517885e-01	1.45039833e-16	-1.12012892e-17	-9.50615933e-17	-5.87320859e-17	-3.63295075e-17
4.87            	3.30861435e+00	1.65430717e+00	1.65430717e+00	-9.79560790e-01	-1.03028386e-01	-8.76532404e-01	3.86752009e-01	1.43784874e-16	-1.41741190e-17	-9.41995771e-17	-6.12739075e-17	-3.29256695e-17
4.88            	3.33726663e+00	1.66863332e+00	1.66863332e+00	-1.01923680e+00	-5.39383372e-01	-4.79853431e-01	-2.97649705e-02	1.43014190e-16	-1.77630182e-17	-9.99385684e-17	-6.77323024e-17	-3.22062660e-17
4.89            	3.33284150e+00	1.66642075e+00	1.66642075e+00	-1.01514337e+00	2.90349195e-01	-1.30549257e+00	7.97920881e-01	1.43714714e-16	-2.35655744e-17	-1.11464464e-16	-7.92978065e-17	-3.21666576e-17
4.9             	3.34961662e+00	1.67480831e+00	1.67480831e+00	-9.67039070e-01	4.10358506e-01	-1.37739758e+00	8.93878041e-01	1.44928191e-16	-2.85587834e-17	-1.28081060e-16	-9.25993133e-17	-3.54817465e-17
4.91            	3.29205498e+00	1.64602749e+00	1.64602749e+00	-1.12593597e+00	7.51789980e-02	-1.20111497e+00	6.38146983e-01	1.26782666e-16	-3.02514478e-17	-9.06112591e-17	-7.55570774e-17	-1.50541818e-17
4.92            	3.31554481e+00	1.65777240e+00	1.65777240e+00	-1.07517603e+00	-3.31985737e-01	-7.43190292e-01	2.05602278e-01	1.25721828e-16	-3.37927496e-17	-1.03818783e-16	-8.57021412e-17	-1.81166421e-17
4.93            	3.32544137e+00	1.66272069e+00	1.66272069e+00	-9.89280021e-01	-4.07910941e-01	-5.81369080e-01	8.67290698e-02	1.26374505e-16	-3.68479812e-17	-1.20759173e-16	-9.72275677e-17	-2.35316054e-17
4.94            	3.31371314e+00	1.65685657e+00	1.65685657e+00	-8.71179479e-01	1.01100025e-01	-9.72279504e-01	5.36689764e-01	1.28941856e-16	-3.95192181e-17	-1.40730315e-16	-1.09884375e-16	-3.08459393e-17
4.95            	3.32153049e+00	1.66076525e+00	1.66076525e+00	-7.24253375e-01	-2.81035509e-01	-4.43217866e-01	8.10911782e-02	1.32514628e-16	-3.97554625e-17	-1.63011147e-16	-1.21261036e-16	-4.17501111e-17
4.96            	3.30499029e+00	1.65249514e+00	1.65249514e+00	-5.52620834e-01	3.86439417e-02	-5.91264775e-01	3.14954359e-01	1.37943625e-16	-3.96038208e-17	-1.86890431e-16	-1.33049036e-16	-5.38413949e-17
4.97            	3.29004071e+00	1.64502035e+00	1.64502035e+00	-3.61458980e-01	1.75619288e-01	-5.37078267e-01	3.56348777e-01	1.44456500e-16	-3.80599420e-17	-2.11676622e-16	-1.43898253e-16	-6.77783688e-17
4.98            	3.27772133e+00	1.63886066e+00	1.63886066e+00	-1.57199209e-01	1.51222760e-01	-3.08421969e-01	2.29822364e-01	1.51682709e-16	-3.54454830e-17	-2.36674416e-16	-1.53782691e-16	-8.28917251e-17
